epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7035,2.00148,2.13188,1.18057,0.65627,0.42064,0.4795,0.25034,1.64556,1.40684,1.0391,0.00332378,0.00332378,0.00332378
2,130.385,1.85867,1.59034,1.11154,0.67565,0.40955,0.47938,0.25518,1.64827,1.33172,1.03986,0.00662416,0.00662416,0.00662416
3,191.747,1.88402,1.52863,1.13299,0.53777,0.35158,0.38718,0.19409,1.79827,1.44406,1.09908,0.00989154,0.00989154,0.00989154
4,252.768,1.92447,1.52447,1.14229,0.64565,0.39889,0.46049,0.2367,1.70621,1.30972,1.06286,0.0098515,0.0098515,0.0098515
5,313.608,1.85442,1.43985,1.12136,0.65494,0.41816,0.48255,0.26183,1.59233,1.26372,1.06087,0.009802,0.009802,0.009802
6,374.398,1.81398,1.37788,1.10638,0.62593,0.41141,0.47049,0.25533,1.60671,1.2529,1.05106,0.0097525,0.0097525,0.0097525
7,435.08,1.78342,1.34715,1.09752,0.65142,0.42532,0.49195,0.26232,1.60386,1.2236,1.05472,0.009703,0.009703,0.009703
8,496.312,1.75023,1.32113,1.0861,0.68762,0.41758,0.49409,0.27419,1.52388,1.1525,1.02521,0.0096535,0.0096535,0.0096535
9,557.42,1.72574,1.28768,1.08003,0.68026,0.44307,0.50957,0.27539,1.56643,1.17656,1.04392,0.009604,0.009604,0.009604
10,618.506,1.70554,1.26176,1.06683,0.70402,0.44759,0.53134,0.298,1.48772,1.07367,1.01412,0.0095545,0.0095545,0.0095545
11,679.605,1.69557,1.26188,1.06825,0.70933,0.43414,0.51236,0.29427,1.49032,1.12853,1.01764,0.009505,0.009505,0.009505
12,740.558,1.67951,1.23824,1.06013,0.73413,0.45315,0.5389,0.29528,1.5273,1.06726,1.02248,0.0094555,0.0094555,0.0094555
13,801.674,1.66921,1.22744,1.0549,0.70183,0.44434,0.53402,0.30114,1.5068,1.07455,1.01754,0.009406,0.009406,0.009406
14,862.924,1.64625,1.21408,1.05755,0.69979,0.44004,0.53089,0.29941,1.50059,1.07683,1.01133,0.0093565,0.0093565,0.0093565
15,923.394,1.63197,1.19737,1.04845,0.69223,0.44202,0.53236,0.30693,1.45692,1.0745,1.00937,0.009307,0.009307,0.009307
16,984.434,1.62325,1.18611,1.0401,0.69742,0.47217,0.54582,0.30811,1.49406,1.06142,1.02219,0.0092575,0.0092575,0.0092575
17,1045.45,1.60729,1.16912,1.03771,0.69053,0.45408,0.5427,0.31166,1.45552,1.02969,0.99903,0.009208,0.009208,0.009208
18,1106.38,1.60853,1.16879,1.04143,0.68737,0.46604,0.55103,0.31788,1.44691,1.03591,0.99771,0.0091585,0.0091585,0.0091585
19,1167.22,1.59743,1.16111,1.03726,0.72567,0.44852,0.54368,0.31051,1.45303,1.03222,1.00343,0.009109,0.009109,0.009109
20,1228.17,1.59884,1.15943,1.03167,0.71092,0.46614,0.55297,0.31531,1.45371,1.05205,1.00071,0.0090595,0.0090595,0.0090595
21,1289.14,1.57625,1.13692,1.02872,0.7372,0.44944,0.55236,0.3157,1.42921,1.03447,1.00062,0.00901,0.00901,0.00901
22,1350,1.57635,1.13466,1.0325,0.76886,0.4564,0.55571,0.32251,1.44058,1.0103,1.00115,0.0089605,0.0089605,0.0089605
23,1410.83,1.56849,1.12455,1.02597,0.7241,0.47475,0.55882,0.32436,1.43106,1.02222,0.99566,0.008911,0.008911,0.008911
